Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating
TOSHIBA,Ultra HD LED,55,37999,54990,VIDAA,4.3
TCL ,QLED Ultra HD,55,52999,129990,Android,4.4
realme ,HD LED,32,13999,17999,Android,4.3
Mi ,HD LED,32,14999,19999,Android,4.4
realme ,HD LED,32,12999,21999,Android,4.3
OnePlus,HD LED,32,15999,19999,Android,4.3
OnePlus,Full HD LED,43,25999,29999,Android,4.3
TCL ,Ultra HD LED,65,57999,119990,Android,4.2
Mi ,Full HD LED,40,21999,29999,Android,4.3
realme ,Ultra HD LED,43,26999,32999,Android,4.3
Mi ,Ultra HD LED,43,27999,34999,Android,4.3
Hisense,Ultra HD LED,55,36999,49990,Android,4.4
Mi ,Ultra HD LED,50,35999,41999,Android,4.3
Mi ,HD LED,32,15499,19999,Android,4.3
Mi ,HD LED,32,14999,19999,Android,4.3
Hisense,Ultra HD LED,70,89999,119990,Android,4.4
LG ,HD LED,32,17499,21990,Linux,4.4
Mi ,Full HD LED,43,25999,31999,Android,4.3
Mi ,Ultra HD LED,55,45999,69999,Android,4.2
TOSHIBA,Ultra HD LED,43,27999,39990,VIDAA,4.3
MarQ by Flipkart,HD LED,32,9999,19999,,4.3
Mi ,Ultra HD LED,43,31999,49999,Android,4.2
iFFALCON by TCL,Ultra HD LED,55,32999,70990,Android,4.3
TCL ,Ultra HD LED,50,33999,62990,Android,4.4
OnePlus,Full HD LED,40,22499,27999,Android,4.3
Coocaa ,HD LED,32,10999,36990,Android,4.2
TOSHIBA,HD LED,32,12499,14990,VIDAA,4.4
Mi ,Full HD LED,43,24999,34999,Android,4.3
SAMSUNG,Ultra HD LED,43,38990,54900,Tizen,4.3
Mi ,Ultra HD LED,55,42999,49999,Android,4.3
LG ,Full HD LED,43,33490,40990,WebOS,4.4
Infinix,Full HD LED,43,20499,24999,Android,4.2
Mi ,Ultra HD LED,50,41999,59999,Android,4.2
Infinix,HD LED,32,11999,17999,Android,4.2
LG ,Ultra HD LED,55,52999,79990,WebOS,4.4
Vu,Ultra HD LED,55,46999,85000,Android,4.4
Nokia ,Ultra HD LED,43,32999,48999,Android,4.4
Vu,Ultra HD LED,43,31000,39999,Android,4.4
Nokia ,Ultra HD LED,50,39999,59999,Android,4.4
Thomson,Ultra HD LED,50,32999,40999,Android,4.4
Thomson,HD LED,24,8499,10499,Android,4.1
Mi ,QLED Ultra HD,55,58999,59999,Android,4.4
OnePlus,Ultra HD LED,55,49999,59999,Android,4.3
Vu,Ultra HD LED,50,40999,65000,Android,4.4
LG ,Ultra HD LED,43,42990,59990,WebOS,4.5
iFFALCON by TCL,Ultra HD LED,43,24999,47990,Android,4.3
Nokia ,Ultra HD LED,43,31999,45999,Android,4.1
Thomson,Full HD LED,42,20499,27999,Android,4.3
Thomson,Ultra HD LED,55,34999,46999,Android,4.2
iFFALCON by TCL,Full HD LED,43,21999,44990,Android,4.2
Nokia ,Ultra HD LED,55,44999,62999,Android,4.4
SONY ,HD LED,32,25490,29900,Linux,4.5
Thomson,Ultra HD LED,50,31999,42999,Android,4.2
KODAK ,Ultra HD LED,55,36999,47999,Android,4.4
MOTOROLA,Ultra HD LED,43,32999,46999,Android,4.3
Thomson,Full HD LED,40,19499,21499,Android,4.4
SAMSUNG,HD LED,32,18490,20900,Tizen,4.3
LG ,Ultra HD LED,50,49999,64990,WebOS,4.4
iFFALCON by TCL,Ultra HD LED,55,35999,106990,Android,4.3
Thomson,HD LED,32,11999,14499,Android,4.4
MOTOROLA,QLED Ultra HD,50,45999,59999,Android,4.3
MOTOROLA,Full HD LED,40,24999,39999,Android,4.4
KODAK ,HD LED,32,12999,18499,Android,4.4
SAMSUNG,Ultra HD LED,50,51990,71400,Tizen,4.3
MOTOROLA,HD LED,32,20999,29999,Android,4.4
TCL ,QLED Ultra HD,50,45999,109990,Android,4.4
SONY ,Full HD LED,43,43490,44900,Linux,4.5
PHILIPS,Ultra HD LED,58,45999,89990,Android,4.2
Coocaa ,Ultra HD LED,55,34999,73990,Android,4.3
PHILIPS,Ultra HD LED,50,38999,69990,Linux,4.2
Nokia ,QLED Ultra HD,55,54999,79999,Android,4.2
SONY ,Full HD LED,49,44999,69900,Android,4.5
KODAK ,Full HD LED,40,19499,20999,Android,4.4
KODAK ,Full HD LED,42,20499,27999,Android,4.4
MOTOROLA,Ultra HD LED,50,39999,54999,Android,4.3
Acer,HD LED,32,13999,19990,Android,3.9
TCL ,Full HD LED,55,41999,109990,Android,4.3
SAMSUNG,HD LED,32,16290,16400,Tizen,4.3
TCL ,Ultra HD LED,43,29999,51990,Linux,4.4
Blaupunkt,Full HD LED,42,20999,29999,Android,4.4
PHILIPS,Full HD LED,43,29999,44990,Android,4.2
Nokia ,Ultra HD LED,55,39999,59999,Android,4.3
Hisense,Ultra HD LED,55,46999,59990,Android,4.5
realme ,Ultra HD LED,50,39999,42999,Android,4.3
SAMSUNG,QLED Ultra HD,55,76999,129900,Tizen,4.5
Nokia ,HD LED,32,16499,19999,Android,4.3
PHILIPS,Ultra HD LED,50,42999,79990,Android,4
